pair,transect,percent
mgpcom,1,21.9
mgpcom,1,31.32
mgmcap,1,13.7
mgmcap,1,5.82
mgrb,1,19.66
mgrb,1,89.42
mgpcom,2,19.87
mgpcom,2,18.02
mgmcap,2,2.49
mgmcap,2,7.71
mgrb,2,50.28
mgrb,2,68.51
mgpcom,3,42.3
mgpcom,3,31.15
mgmcap,3,7.35
mgmcap,3,4.57
mgrb,3,52.33
mgrb,3,55.1
flpcom,1,10.41
flpcom,1,13
flmcap,1,5.84
flmcap,1,14.01
flpcom,2,8.54
flpcom,2,1.37
flmcap,2,-3.4
flmcap,2,7.05
flpcom,3,4.71
flpcom,3,-1.94
flmcap,3,14.8
flmcap,3,4.6
