sponge,sub,quan,station,transect
mg,cca,3,R41,1
mg,pcom,1,R41,1
mg,cca,2,R41,1
mg,pcom,3,R41,1
mg,pcom,1,R41,1
mg,pcom,4,R41,1
mg,dc,3,R41,1
mg,pcom,2,R41,1
mg,pcom,1,R41,1
mg,cca,3,R41,1
mg,dc,3,R41,1
mg,pcom,1,R41,2
mg,cca,1,R41,2
mg,pcom,1,R41,2
mg,pcom,3,R41,2
mg,pcom,1,R41,2
mg,pcom,2,R41,2
mg,cca,2,R41,2
mg,pcom,2,R41,2
mg,mcap,1,R41,2
mg,dc,1,R41,2
mg,pcom,1,R41,2
mg,pcom,1,R41,2
mg,cca,1,R41,2
mg,pcom,1,R41,2
mclat,dc,1,R41,2
mclat,pcom,1,R41,2
mg,cca,2,R41,2
mg,dc,3,R41,2
mg,pcom,1,R41,2
mg,pcom,5,R41,2
mg,cca,1,R41,2
mg,dc,3,R41,2
mg,pcom,2,R41,2
mg,cca,2,R41,2
mg,dc,1,R41,2
mg,pcom,3,R41,2
mg,pcom,1,R41,2
mg,dc,3,R41,3
mg,cca,1,R41,3
mg,dc,1,R41,3
mg,pcom,3,R41,3
mg,cca,2,R41,3
mg,pcom,2,R41,3
mg,cca,3,R41,3
mg,pcom,3,R41,3
mg,cca,2,R41,3
mg,pcom,1,R41,3
mg,pcom,5,R41,3
mg,pcom,3,R41,3
mg,cca,1,R41,3
mg,pcom,1,R41,3
mg,pcom,1,R41,3
mg,cca,1,R41,3
mg,pcom,1,R41,3
mg,dc,5,R41,3
mg,pcom,2,R41,3
mg,cca,1,R41,3
mg,pcom,1,R41,3
mg,pcom,3,R41,3
mg,cca,1,R41,3
mg,pcom,2,R41,3
mg,dc,6,R41,3
mg,pcom,8,R41,3
mg,pcom,3,R41,3
mg,cca,2,R41,3
mg,cca,1,R41,4
mg,cca,6,R41,4
mg,pcom,3,R41,4
mg,cca,2,R41,4
mg,pcom,2,R41,4
mg,pcom,2,R41,4
mg,pcom,3,R41,4
mg,pcom,1,R41,4
mg,dc,1,R41,4
mg,cca,13,R41,4
mg,pcom,2,R41,4
mg,cca,4,R41,4
mg,pcom,3,R41,4
mg,dc,3,R41,4
mg,pcom,4,R41,5
mg,cca,7,R41,5
mg,pcom,1,R41,5
mg,dc,1,R41,5
mg,cca,2,R41,5
mg,pcom,3,R41,5
mg,cca,2,R41,5
mg,pcom,5,R41,5
mg,cca,1,R41,5
mg,pcom,4,R41,5
mg,cca,1,R41,5
mg,pcom,1,R41,5
mg,cca,4,R41,5
mg,pcom,3,R41,5
